Price,Datetime,Close,High,Low,Open,Volume,timestamp,SMA20,SMA50
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,
157,2025-05-15 06:22:00+00:00,1421.5999755859375,1422.0,1421.300048828125,1422.0,6999,2025-05-15 06:22:00+00:00,1422.7850036621094,1423.64
158,2025-05-15 06:23:00+00:00,1421.5999755859375,1422.199951171875,1421.0,1421.5999755859375,10513,2025-05-15 06:23:00+00:00,1422.7300048828124,1423.5139990234375
159,2025-05-15 06:24:00+00:00,1421.800048828125,1422.300048828125,1421.300048828125,1421.5999755859375,9429,2025-05-15 06:24:00+00:00,1422.7550048828125,1423.4139990234376
160,2025-05-15 06:25:00+00:00,1422.9000244140625,1422.9000244140625,1421.800048828125,1421.800048828125,24297,2025-05-15 06:25:00+00:00,1422.8200073242188,1423.3380004882813
161,2025-05-15 06:26:00+00:00,1421.800048828125,1423.0,1421.4000244140625,1422.800048828125,43726,2025-05-15 06:26:00+00:00,1422.8250122070312,1423.2200024414062
162,2025-05-15 06:27:00+00:00,1421.4000244140625,1423.300048828125,1421.4000244140625,1421.800048828125,28719,2025-05-15 06:27:00+00:00,1422.780010986328,1423.102001953125
163,2025-05-15 06:28:00+00:00,1422.5,1422.5999755859375,1421.4000244140625,1421.9000244140625,9807,2025-05-15 06:28:00+00:00,1422.8200134277345,1423.0540014648439
164,2025-05-15 06:29:00+00:00,1421.300048828125,1423.0,1421.300048828125,1422.5,13260,2025-05-15 06:29:00+00:00,1422.7850158691406,1422.9800024414062
165,2025-05-15 06:30:00+00:00,1421.5,1422.0999755859375,1421.0,1421.4000244140625,10762,2025-05-15 06:30:00+00:00,1422.7750183105468,1422.9260034179688
166,2025-05-15 06:31:00+00:00,1421.5999755859375,1421.9000244140625,1421.0,1421.4000244140625,8388,2025-05-15 06:31:00+00:00,1422.6850158691407,1422.8860034179688
167,2025-05-15 06:32:00+00:00,1421.5,1421.9000244140625,1421.4000244140625,1421.5999755859375,9543,2025-05-15 06:32:00+00:00,1422.5700134277345,1422.8160034179687
168,2025-05-15 06:33:00+00:00,1421.9000244140625,1422.5,1421.0999755859375,1421.5,12256,2025-05-15 06:33:00+00:00,1422.5000122070312,1422.8100048828126
169,2025-05-15 06:34:00+00:00,1422.300048828125,1422.800048828125,1421.800048828125,1421.9000244140625,6692,2025-05-15 06:34:00+00:00,1422.4400146484375,1422.7940063476562
170,2025-05-15 06:35:00+00:00,1422.4000244140625,1422.5,1421.9000244140625,1422.300048828125,8706,2025-05-15 06:35:00+00:00,1422.3100158691407,1422.7640063476563
171,2025-05-15 06:36:00+00:00,1422.699951171875,1423.0,1422.0,1422.199951171875,9858,2025-05-15 06:36:00+00:00,1422.205010986328,1422.7200048828124
172,2025-05-15 06:37:00+00:00,1424.9000244140625,1425.0,1422.0999755859375,1422.5,38251,2025-05-15 06:37:00+00:00,1422.2750122070313,1422.6980053710938
173,2025-05-15 06:38:00+00:00,1426.4000244140625,1426.800048828125,1424.9000244140625,1424.9000244140625,32092,2025-05-15 06:38:00+00:00,1422.3800109863282,1422.7020068359375
