Price,Date,Close,High,Low,Open,Volume,timestamp,SMA20,SMA50
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,
74,2022-04-22,1268.7041015625,1288.5706905369877,1261.9899043837684,1268.7500817160148,15054154,2022-04-22,1210.547137451172,1142.0668676757812
75,2022-04-25,1239.3641357421875,1268.5201781454932,1224.947045092913,1261.162258128248,17063215,2022-04-25,1213.2224670410155,1145.184365234375
76,2022-04-26,1276.4530029296875,1285.351622525052,1245.2045006387655,1246.2621658343323,12227666,2022-04-26,1217.3567443847655,1148.7911669921875
77,2022-04-27,1277.6947021484375,1300.5274979603514,1266.9795015950447,1267.3474644697965,19338945,2022-04-27,1220.9529663085937,1152.4453344726562
78,2022-04-28,1296.779541015625,1311.1046706151394,1281.258684092747,1292.2267757807472,25614076,2022-04-28,1225.4896362304687,1156.5239697265624
79,2022-04-29,1283.167236328125,1313.4730246617085,1277.2118330198755,1313.4730246617085,18214862,2022-04-29,1228.1868041992188,1160.6784838867188
80,2022-05-02,1278.660400390625,1290.1802535838776,1268.3591429197284,1270.1757239256842,9467006,2022-05-02,1231.5369995117187,1164.0125805664063
81,2022-05-04,1238.7431640625,1283.0522187039862,1230.764391033474,1280.7528461098425,19247660,2022-05-04,1232.4061584472656,1166.5943188476563
82,2022-05-05,1214.4847412109375,1255.459626544449,1210.3918993491802,1252.470430006546,17210669,2022-05-05,1231.8818969726562,1168.4099072265626
83,2022-05-06,1205.17236328125,1222.8085507900191,1192.7096731510928,1201.2864319074956,19649948,2022-05-06,1231.7577331542968,1170.2149169921875
84,2022-05-09,1158.1041259765625,1194.3423273589742,1152.9075169065754,1184.1560199193123,18083752,2022-05-09,1229.44111328125,1171.3039013671876
85,2022-05-10,1138.030517578125,1161.9211012155586,1130.3736051672886,1147.3890606896334,19511677,2022-05-10,1227.183123779297,1172.0916674804687
86,2022-05-11,1126.3726806640625,1142.7672818156182,1113.7950405341396,1137.110749694519,16643899,2022-05-11,1223.35810546875,1172.783779296875
87,2022-05-12,1103.4249267578125,1119.7274458472566,1089.9045719146397,1116.3474179567731,20490321,2022-05-12,1218.5110168457031,1174.1050024414062
88,2022-05-13,1115.9334716796875,1139.5710416890413,1110.7598528716317,1115.6575907557556,19308778,2022-05-13,1215.419500732422,1175.4170239257812
89,2022-05-16,1116.20947265625,1140.950687966752,1111.3577149330172,1119.5435203781597,13437911,2022-05-16,1212.557928466797,1176.0392358398437
90,2022-05-17,1163.09375,1168.037468415074,1118.4168501968684,1119.8424783604594,16551828,2022-05-17,1212.219921875,1177.2404296875
