Price,Date,Close,High,Low,Open,Volume,timestamp,SMA20,SMA50
Ticker,,MSUMI.NS,MSUMI.NS,MSUMI.NS,MSUMI.NS,MSUMI.NS,,,
58,2022-06-21,43.600608825683594,43.77172424817255,41.54720547854974,42.06055540146989,3496138,2022-06-21,43.49109325408936,44.93326782226563
59,2022-06-22,43.771724700927734,43.874395417664395,42.60813177396994,43.53216091369329,2643209,2022-06-22,43.60916385650635,44.83881118774414
60,2022-06-23,45.41444778442383,45.825126986210655,43.224151397321016,43.80594967477559,3839176,2022-06-23,43.761458015441896,44.74846138000488
61,2022-06-24,46.50959396362305,46.61226467348634,45.0037666335029,45.790902650033054,3129627,2022-06-24,43.90348510742187,44.72998069763184
62,2022-06-27,46.06468963623047,47.57052065003204,45.859351868107666,46.95450003475739,9918759,2022-06-27,43.99759922027588,44.65126678466797
63,2022-06-28,47.12561798095703,47.50207484075623,44.62730937815876,45.48289747051085,12836171,2022-06-28,44.108825302124025,44.65058235168457
64,2022-06-29,47.810089111328125,48.186545987809744,46.03047179531672,46.543821749114066,10258511,2022-06-29,44.29192066192627,44.70944664001465
65,2022-06-30,48.186546325683594,49.14480152906624,47.502077278852134,47.70741872399227,6139595,2022-06-30,44.52635097503662,44.76351959228516
66,2022-07-01,47.94697952270508,48.35766238727103,47.194065811605206,48.35766238727103,3084846,2022-07-01,44.729980087280275,44.77857788085937
67,2022-07-04,50.719078063964844,50.992867879486695,47.77586770459669,47.84431241688699,7584381,2022-07-04,45.024301528930664,44.820330429077146
68,2022-07-05,51.74577713012695,53.25160453450129,50.68485128316146,50.890192713013676,13168481,2022-07-05,45.378513717651366,44.896306381225585
69,2022-07-06,53.25160598754883,53.730733566642215,51.33509567117528,51.6773301784496,8524789,2022-07-06,45.804595184326175,44.94421913146973
70,2022-07-07,51.232425689697266,54.34675477635102,50.924413554064785,53.76495651268064,6606849,2022-07-07,46.13656215667724,44.989393920898436
71,2022-07-08,50.445289611816406,51.916894724635235,50.03461039037396,51.23242935556449,4349762,2022-07-08,46.442861557006836,45.03114646911621
72,2022-07-11,53.25160598754883,54.07296807391654,49.3843630007103,49.3843630007103,8460825,2022-07-11,46.915144538879396,45.14476806640625
73,2022-07-12,52.94359588623047,54.51787164764704,52.56713903626707,53.320052736193865,8795754,2022-07-12,47.40453910827637,45.250860595703124
74,2022-07-13,52.94359588623047,53.559616518484496,52.49869067470408,53.114711306958114,2877070,2022-07-13,47.911045455932616,45.38706977844238
75,2022-07-14,54.004520416259766,54.278306544944975,52.70403082182532,52.70403082182532,6529909,2022-07-14,48.474020385742186,45.515065307617185
76,2022-07-15,54.688987731933594,55.64724287272295,54.141415454598686,54.27830852393241,7550942,2022-07-15,49.15506591796875,45.68481330871582
77,2022-07-18,54.51787185668945,55.886806194119295,54.27830807348024,55.09967013811944,4809705,2022-07-18,49.80873260498047,45.87030403137207
78,2022-07-19,52.36179733276367,54.68898678191737,51.71155435086068,54.68898678191737,5356268,2022-07-19,50.246792030334475,46.029785079956056
79,2022-07-20,53.25160598754883,54.004523365733675,52.43024755663445,53.18316127936596,4046707,2022-07-20,50.72078609466553,46.23101867675781
80,2022-07-21,55.818359375,56.60549540120645,52.7040303111588,53.21738021133284,7716578,2022-07-21,51.24098167419434,46.52054862976074
81,2022-07-22,55.168113708496094,55.92103105125936,54.51787073408339,55.886805043324784,3402900,2022-07-22,51.67390766143799,46.7690104675293
82,2022-07-25,54.92855453491211,56.263270259015236,54.2098631398351,55.40768213163012,2902415,2022-07-25,52.11710090637207,47.027054901123044
83,2022-07-26,54.688987731933594,55.168115302328275,53.799180953537736,55.168115302328275,3423091,2022-07-26,52.4952693939209,47.25361373901367
84,2022-07-27,54.688987731933594,55.20234131125165,53.86762931593123,54.688987731933594,2930509,2022-07-27,52.83921432495117,47.48085700988769
85,2022-07-28,54.688987731933594,55.64724287272295,54.41520159326614,54.96277752605432,3772690,2022-07-28,53.164336395263675,47.723843002319335
86,2022-07-29,52.90937423706055,55.065448306359805,52.293349941157956,54.791658511918676,4970618,2022-07-29,53.41245613098145,47.9326057434082
87,2022-08-01,52.806705474853516,54.07296915611237,52.567141680512286,53.046269269194745,3874133,2022-08-01,53.51683750152588,48.13315483093262
88,2022-08-02,53.046268463134766,53.69651147127165,52.08801330033092,52.77247866272413,3605334,2022-08-02,53.58186206817627,48.33507301330567
89,2022-08-03,53.046268463134766,54.346758134861886,52.840927026690125,53.046268463134766,4688657,2022-08-03,53.571595191955566,48.567792129516604
90,2022-08-04,54.3809814453125,54.6889899499419,52.22490729109306,53.217384825604206,8678019,2022-08-04,53.72902297973633,48.8080404663086
91,2022-08-05,54.3809814453125,57.76909692895636,54.10719529554117,54.82588668028098,12455304,2022-08-05,53.925807571411134,49.022279052734376
92,2022-08-08,54.03874588012695,55.33923554944585,53.66228901764447,55.09967175918852,5271595,2022-08-08,53.96516456604004,49.219405822753906
93,2022-08-10,54.654762268066406,55.30500887971272,53.901848601852514,54.07296401491819,7409096,2022-08-10,54.05072288513183,49.414479141235354
94,2022-08-11,54.004520416259766,55.373454715138955,53.662285927676685,55.23656165079635,8408611,2022-08-11,54.1037691116333,49.611605911254884
95,2022-08-12,54.1775016784668,54.38507937510734,53.554772283808035,54.004522728108256,2129611,2022-08-12,54.11241817474365,49.82519714355469
96,2022-08-16,55.52674865722656,56.460844585762196,54.212099781470336,54.627251474562385,9148472,2022-08-16,54.1543062210083,50.058244171142576
97,2022-08-17,55.284576416015625,56.011094656991524,54.9040197700658,55.803520656186166,4267799,2022-08-17,54.19264144897461,50.26728271484375
98,2022-08-18,55.07699966430664,56.7376100641221,54.800228184951834,55.2845736547444,4969045,2022-08-18,54.32840156555176,50.475592041015624
99,2022-08-19,53.96992874145508,55.69973306020623,53.105022886816556,55.49215535947195,7020013,2022-08-19,54.36431770324707,50.660391082763674
100,2022-08-22,54.07371520996094,54.66184957948469,53.69315854621334,53.9699300523359,4185491,2022-08-22,54.27708549499512,50.85000366210937
101,2022-08-23,55.52674865722656,55.90730899497281,53.79694439311546,54.10831093438162,12809360,2022-08-23,54.29501724243164,51.074152603149415
102,2022-08-24,54.93861770629883,56.73761206149147,54.69644496287719,55.90730867998539,6064374,2022-08-24,54.29552040100098,51.29680603027344
103,2022-08-25,55.14619064331055,56.184075393123706,54.0737108437491,55.215384438069854,12167775,2022-08-25,54.31838054656983,51.53661575317383
104,2022-08-26,55.31917190551758,55.94190126179878,55.284573161367824,55.35376695440468,2682248,2022-08-26,54.34988975524902,51.78672981262207
105,2022-08-29,54.1775016784668,55.0078087697661,53.658561132128305,53.969927677089125,5590971,2022-08-29,54.32431545257568,52.015379409790036
106,2022-08-30,56.39165496826172,60.646975563823524,54.696445740218074,55.00780858889221,15049106,2022-08-30,54.498429489135745,52.32185096740723
107,2022-09-01,55.04240036010742,57.706300416876644,54.73103752998578,56.322457815225974,7706886,2022-09-01,54.61021423339844,52.59380821228027
